,FirstOne,SecondOne,ThirdOne,Name,Link,Headline
1,Bing Han,Yucheng Zou,Meng Gu,Bing Han,https://www.nature.com/articles/s41467-021-23368-6,Probing the Na metal solid electrolyte interphase via cryo-transmission electron microscopy
4,Pan Peng,Xingxiu Yan,Aiwen Lei,Pan Peng,https://www.nature.com/articles/s41467-021-23401-8,"Electrochemical C−C bond cleavage of cyclopropanes towards the synthesis of 1,3-difunctionalized molecules"
5,Jinzhen Huang,Hongyuan Sheng,Song Jin,Jinzhen Huang,https://www.nature.com/articles/s41467-021-23390-8,Modifying redox properties and local bonding of Co3O4 by CeO2 enhances oxygen evolution catalysis in acid
6,Haonan Lin,Hyeon Jeong Lee,Ji-Xin Cheng,Haonan Lin,https://www.nature.com/articles/s41467-021-23202-z,Microsecond fingerprint stimulated Raman spectroscopic imaging by ultrafast tuning and spatial-spectral learning
7,Xiangli Wang,Yong Fu,Rui Zhang,Xiangli Wang,https://www.nature.com/articles/s41467-021-23351-1,Cryo-EM structure of cortical microtubules from human parasite Toxoplasma gondii identifies their microtubule inner proteins
8,Jicheng Zhang,Qinghua Zhang,Xiangfeng Liu,Jicheng Zhang,https://www.nature.com/articles/s41467-021-23365-9,Addressing voltage decay in Li-rich cathodes by broadening the gap between metallic and anionic bands
9,Ning Ma,Yi-Kang Wang,Dong Xie,Ning Ma,https://www.nature.com/articles/s41467-021-23285-8,PPDPF alleviates hepatic steatosis through inhibition of mTOR signaling
10,Yanxu Zhang,Zhengcheng Song,Ping Li,Yanxu Zhang,https://www.nature.com/articles/s41467-021-23391-7,Global health effects of future atmospheric mercury emissions
11,Meiou Dai,Gang Yan,Jean-Jacques Lebrun,Meiou Dai,https://www.nature.com/articles/s41467-021-23316-4,In vivo genome-wide CRISPR screen reveals breast cancer vulnerabilities and synergistic mTOR/Hippo targeted combination therapy
12,Yuanqi Wu,Na Jiao,Lixin Zhu,Yuanqi Wu,https://www.nature.com/articles/s41467-021-23265-y,Identification of microbial markers across populations in early detection of colorectal cancer
14,Jun Deng,Qian Chen,Di Yu,Jun Deng,https://www.nature.com/articles/s41467-021-23220-x,The metabolic hormone leptin promotes the function of TFH cells and supports vaccine responses
15,Go Yumoto,Hideki Hirori,Yoshihiko Kanemitsu,Go Yumoto,https://www.nature.com/articles/s41467-021-23291-w,Strong spin-orbit coupling inducing Autler-Townes effect in lead halide perovskite nanocrystals
